time_seconds,flux_w_m2
489600.0,388.0
493200.0,220.0
496800.0,68.0
500400.0,4.0
504000.0,0.0
507600.0,0.0
511200.0,0.0
514800.0,0.0
518400.0,0.0
522000.0,0.0
525600.0,0.0
529200.0,0.0
532800.0,0.0
536400.0,0.0
540000.0,13.0
543600.0,76.0
547200.0,167.0
550800.0,256.0
554400.0,341.0
558000.0,422.0
561600.0,507.0
565200.0,576.0
568800.0,581.0
572400.0,512.0
576000.0,392.0
579600.0,243.0
583200.0,87.0
586800.0,5.0
590400.0,0.0
594000.0,0.0
597600.0,0.0
601200.0,0.0
604800.0,0.0
608400.0,0.0
612000.0,0.0
615600.0,0.0
619200.0,0.0
622800.0,0.0
626400.0,13.0
630000.0,81.0
633600.0,181.0
637200.0,302.0
640800.0,440.0
644400.0,548.0
648000.0,581.0
651600.0,554.0
655200.0,496.0
658800.0,426.0
662400.0,330.0
666000.0,213.0
669600.0,47.0
673200.0,3.0
676800.0,0.0
680400.0,0.0
684000.0,0.0
687600.0,0.0
691200.0,0.0
694800.0,0.0
698400.0,0.0
702000.0,0.0
705600.0,0.0
709200.0,0.0
712800.0,11.0
716400.0,64.0
720000.0,148.0
723600.0,282.0
727200.0,465.0
730800.0,627.0
734400.0,719.0
738000.0,737.0
741600.0,664.0
745200.0,499.0
748800.0,303.0
752400.0,145.0
756000.0,41.0
759600.0,1.0
763200.0,0.0
766800.0,0.0
770400.0,0.0
774000.0,0.0
777600.0,0.0
781200.0,0.0
784800.0,0.0
788400.0,0.0
792000.0,0.0
795600.0,0.0
799200.0,19.0
802800.0,114.0
806400.0,248.0
810000.0,373.0
813600.0,483.0
817200.0,574.0
820800.0,667.0
824400.0,726.0
828000.0,663.0
831600.0,435.0
835200.0,184.0
838800.0,52.0
842400.0,19.0
846000.0,2.0
849600.0,0.0
853200.0,0.0
856800.0,0.0
860400.0,0.0
864000.0,0.0
867600.0,0.0
871200.0,0.0
874800.0,0.0
878400.0,0.0
882000.0,0.0
885600.0,13.0
889200.0,77.0
892800.0,176.0
896400.0,321.0
900000.0,509.0
903600.0,653.0
907200.0,674.0
910800.0,599.0
914400.0,483.0
918000.0,348.0
921600.0,212.0
925200.0,109.0
928800.0,38.0
932400.0,2.0
936000.0,0.0
939600.0,0.0
943200.0,0.0
946800.0,0.0
950400.0,0.0
954000.0,0.0
957600.0,0.0
961200.0,0.0
964800.0,0.0
968400.0,0.0
972000.0,18.0
975600.0,113.0
979200.0,242.0
982800.0,343.0
986400.0,408.0
990000.0,457.0
993600.0,517.0
997200.0,566.0
1000800.0,555.0
1004400.0,476.0
1008000.0,355.0
1011600.0,210.0
1015200.0,66.0
1018800.0,2.0
1022400.0,0.0
1026000.0,0.0
1029600.0,0.0
1033200.0,0.0
1036800.0,0.0
1040400.0,0.0
1044000.0,0.0
1047600.0,0.0
1051200.0,0.0
1054800.0,0.0
1058400.0,24.0
1062000.0,149.0
1065600.0,322.0
1069200.0,478.0
1072800.0,605.0
1076400.0,699.0
1080000.0,761.0
1083600.0,779.0
1087200.0,725.0
1090800.0,593.0
1094400.0,422.0
1098000.0,252.0
1101600.0,92.0
1105200.0,3.0
1108800.0,0.0
1112400.0,0.0
1116000.0,0.0
1119600.0,0.0
1123200.0,0.0
1126800.0,0.0
1130400.0,0.0
1134000.0,0.0
1137600.0,0.0
1141200.0,0.0
1144800.0,25.0
1148400.0,159.0
1152000.0,340.0
1155600.0,470.0
1159200.0,538.0
1162800.0,582.0
1166400.0,651.0
1170000.0,711.0
1173600.0,684.0
1177200.0,542.0
1180800.0,359.0
1184400.0,203.0
1188000.0,75.0
1191600.0,2.0
1195200.0,0.0
1198800.0,0.0
1202400.0,0.0
1206000.0,0.0
1209600.0,0.0
1213200.0,0.0
1216800.0,0.0
1220400.0,0.0
1224000.0,0.0
1227600.0,0.0
1231200.0,17.0
1234800.0,105.0
1238400.0,239.0
1242000.0,423.0
1245600.0,653.0
1249200.0,826.0
1252800.0,855.0
1256400.0,767.0
1260000.0,615.0
1263600.0,416.0
1267200.0,221.0
1270800.0,97.0
1274400.0,34.0
1278000.0,1.0
1281600.0,0.0
1285200.0,0.0
1288800.0,0.0
1292400.0,0.0
